Unit Price,Customer ID,Customer Name,Customer Segment,Product Category,Product Sub-Category,Product Name,City,Order Weekday,Weekday helper,Profit,Quantity ordered new,Sales,Order ID,Order returned,Order Date
103,31,Customer_31,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 62,Banská Bystrica,Saturday,6,530.97,13,1353.26,94268,False,2019-10-12
46.16,7,Customer_7,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 7,Martin,Monday,1,1140.22,11,515.92,96410,False,2019-04-08
372.62,9,Customer_9,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 20,Poprad,Thursday,4,-141.94,16,5952.14,91041,False,2018-08-09
476.12,6,Customer_6,Corporate,Technology,Office Machines,Office Machines Product 90,Poprad,Tuesday,2,639.17,15,7135.72,85407,False,2018-09-18
8.12,31,Customer_31,Small Business,Technology,Office Machines,Office Machines Product 13,Trnava,Monday,1,34.88,9,78.3,86992,False,2018-11-26
173.13,21,Customer_21,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 2,Bratislava,Saturday,6,1751.39,4,685.42,98436,False,2015-11-14
83.11,23,Customer_23,Corporate,Technology,Office Machines,Office Machines Product 97,Bratislava,Thursday,4,614.59,3,239.63,82042,False,2018-11-15
439.66,30,Customer_30,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 36,Prešov,Wednesday,3,1299.6,2,871.81,80416,False,2015-10-28
400.0,5,Customer_5,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 26,Banská Bystrica,Tuesday,2,1803.33,6,2399.21,97563,False,2018-05-15
424.9,26,Customer_26,Home Office,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 91,Žilina,Thursday,4,256.31,24,10205.25,88643,False,2018-07-19
386.32,14,Customer_14,Small Business,Office Supplies,Envelopes,Envelopes Product 53,Nitra,Monday,1,1926.99,11,4255.52,83737,False,2015-06-22
407.96,30,Customer_30,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 7,Prešov,Tuesday,2,156.88,8,3264.0,99192,False,2019-11-19
169.89,22,Customer_22,Small Business,Office Supplies,Envelopes,Envelopes Product 55,Trnava,Monday,1,1520.06,24,4072.43,85143,False,2015-03-09
462.28,37,Customer_37,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 66,Bratislava,Sunday,7,1964.09,21,9707.93,91647,False,2017-05-14
76.24,48,Customer_48,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 48,Trnava,Saturday,6,672.69,22,1679.58,84183,False,2019-08-17
388.99,6,Customer_6,Small Business,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 59,Nitra,Thursday,4,678.69,6,2343.13,99634,False,2016-03-03
323.6,33,Customer_33,Home Office,Technology,Office Machines,Office Machines Product 66,Žilina,Monday,1,444.44,2,657.04,84117,False,2017-06-26
360.8,33,Customer_33,Corporate,Technology,Office Machines,Office Machines Product 10,Trnava,Tuesday,2,157.71,1,355.84,89913,False,2015-02-10
386.64,27,Customer_27,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 18,Trnava,Tuesday,2,1647.01,23,8889.36,86233,False,2019-02-26
406.06,39,Customer_39,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 10,Banská Bystrica,Saturday,6,1350.87,3,1211.2,96957,False,2017-06-10
245.21,22,Customer_22,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 3,Nitra,Saturday,6,1016.7,19,4667.44,96372,False,2019-04-27
201.75,14,Customer_14,Corporate,Furniture,Office Furnishings,Office Furnishings Product 75,Žilina,Monday,1,201.04,1,203.93,96882,False,2017-08-21
